C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 10\ACQ_3.7\EFFORT10_SBT_AND_POSTEXTUBATION_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
83410	83410	83410	83410	83410	
0.53277	22.2475	14.4834	-0.332727	-21.7148	
0.53277	22.3436	14.4699	-0.327711	-21.8108	
0.546431	22.3847	14.5171	-0.322382	-21.8383	
0.566922	22.4328	14.5036	-0.31862	-21.8658	
0.642058	22.5357	14.4969	-0.315171	-21.8936	
0.505448	22.5768	14.5103	-0.311723	-22.0714	
0.443973	22.666	14.4699	-0.307647	-22.222	
0.519109	22.6454	14.4767	-0.304826	-22.1263	
0.580583	22.7483	14.4295	-0.302004	-22.1677	
0.525939	22.7415	14.4295	-0.298869	-22.2155	
0.457634	22.8238	14.4767	-0.293853	-22.3662	
0.484956	22.8375	14.4969	-0.289151	-22.3526	
0.423482	22.8718	14.4565	-0.283508	-22.4483	
0.628397	22.8855	14.4969	-0.278805	-22.2571	
0.450804	22.8512	14.5036	-0.275356	-22.4004	
0.587414	22.865	14.4901	-0.273162	-22.2775	
0.546431	22.8512	14.4969	-0.271908	-22.3048	
0.53277	22.8375	14.5103	-0.269086	-22.3047	
0.5396	22.8307	14.4363	-0.266892	-22.2911	
0.5396	22.7895	14.4699	-0.264697	-22.2499	
0.368838	22.714	14.4699	-0.261562	-22.3452	
0.498617	22.714	14.4497	-0.257173	-22.2154	
0.450804	22.666	14.4969	-0.252784	-22.2152	
0.430312	22.6317	14.4565	-0.249649	-22.2014	
0.505448	22.5974	14.4565	-0.246828	-22.092	
0.430312	22.5014	14.4497	-0.243693	-22.0711	
0.525939	22.4945	14.4497	-0.239931	-21.9686	
0.566922	22.4328	14.4363	-0.236169	-21.8658	
0.375668	22.3504	14.4901	-0.233034	-21.9748	
0.348346	22.3573	14.443	-0.23178	-22.009	
0.430312	22.3024	14.4497	-0.229272	-21.8721	
0.382499	22.275	14.416	-0.228958	-21.8925	
0.464465	22.3024	14.4699	-0.228645	-21.838	
0.39616	22.3299	14.4295	-0.228331	-21.9337	
0.375668	22.3024	14.4632	-0.227077	-21.9268	
0.341516	22.3299	14.4632	-0.22551	-21.9883	
0.484956	22.3985	14.4699	-0.224569	-21.9135	
0.484956	22.4053	14.4565	-0.223942	-21.9204	
0.437143	22.3504	14.4497	-0.222061	-21.9133	
0.348346	22.3985	14.4497	-0.21924	-22.0501	
0.314194	22.3367	14.4699	-0.214851	-22.0225	
0.389329	22.3024	14.4497	-0.210148	-21.9131	
0.519109	22.2956	14.416	-0.204819	-21.7765	
0.293702	22.2407	14.4497	-0.20137	-21.947	
0.321024	22.2613	14.4093	-0.199176	-21.9402	
0.245889	22.275	14.4363	-0.196668	-22.0291	
0.286872	22.2132	14.4565	-0.193846	-21.9264	
0.280041	22.1652	14.3958	-0.190711	-21.8852	
0.334685	22.076	14.416	-0.184755	-21.7413	
0.368838	22.028	14.4026	-0.179739	-21.6592	
0.341516	21.9114	14.4228	-0.174723	-21.5699	
0.355177	21.8291	14.4093	-0.169393	-21.4739	
0.382499	21.733	14.4093	-0.164377	-21.3505	
0.362007	21.6713	14.3487	-0.160615	-21.3093	
0.273211	21.5821	14.3352	-0.157167	-21.3089	
0.334685	21.4929	14.3689	-0.155913	-21.1582	
0.443973	21.4723	14.315	-0.157167	-21.0284	
0.362007	21.4037	14.2746	-0.160302	-21.0417	
0.314194	21.3351	14.2679	-0.164064	-21.0209	
0.362007	21.2665	14.2207	-0.169707	-20.9045	
0.409821	21.2871	14.2342	-0.173782	-20.8773	
0.368838	21.2803	14.2072	-0.175977	-20.9114	
0.362007	21.2117	14.2072	-0.176604	-20.8496	
0.334685	21.1705	14.1399	-0.176917	-20.8358	
0.280041	21.2117	14.1736	-0.174723	-20.9316	
0.280041	21.2391	14.1601	-0.173782	-20.9591	
0.423482	21.2665	14.1332	-0.171588	-20.8431	
0.409821	21.2597	14.0927	-0.17002	-20.8499	
0.273211	21.246	14.1466	-0.168453	-20.9727	
0.321024	21.3008	14.0725	-0.168139	-20.9798	
0.362007	21.3626	14.1062	-0.167512	-21.0006	
0.286872	21.3763	14.0927	-0.166572	-21.0894	
0.225397	21.4312	14.1062	-0.167199	-21.2058	
0.327855	21.4518	14.0927	-0.168139	-21.1239	
0.307363	21.4655	14.0591	-0.168766	-21.1581	
0.314194	21.5752	14.0793	-0.171274	-21.261	
0.26638	21.637	14.0321	-0.172842	-21.3706	
