C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 25\TRACINGS\ACQ 3\EFFORTRT25_COMPLETE_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
70113	70113	70113	70113	70113	
6.04555	16.0187	13.3438	-0.00692109	-9.97312	
6.05939	15.9841	13.3644	-0.00722648	-9.92471	
6.09397	15.9703	13.3712	-0.00814267	-9.87629	
6.10781	15.9426	13.3506	-0.00814267	-9.8348	
6.09397	15.908	13.3712	-0.00753188	-9.81405	
6.07322	15.8389	13.4124	-0.00783727	-9.76565	
6.08014	15.825	13.4329	-0.00753188	-9.7449	
6.09397	15.8458	13.4466	-0.00722648	-9.75181	
6.13548	15.8665	13.4535	-0.00814267	-9.73106	
6.10089	15.8873	13.4946	-0.00692109	-9.78639	
6.08706	15.8112	13.5221	-0.00692109	-9.72415	
6.08706	15.8112	13.4946	-0.00783727	-9.72415	
6.0663	15.8112	13.5221	-0.00722648	-9.7449	
6.04555	15.8181	13.6181	-0.00722648	-9.77257	
6.09397	15.8389	13.6112	-0.00783727	-9.7449	
6.04555	15.8043	13.6181	-0.00844806	-9.75874	
6.05247	15.7835	13.6249	-0.00692109	-9.73108	
6.00405	15.7421	13.6729	-0.0102804	-9.738	
6.05247	15.749	13.6729	-0.00814267	-9.6965	
6.03172	15.7282	13.7621	-0.00844806	-9.6965	
6.00405	15.7697	13.7552	-0.00966965	-9.76567	
5.99022	15.7628	13.7484	-0.00783727	-9.77258	
5.9833	15.749	13.8032	-0.00661569	-9.76567	
6.01788	15.7697	13.7964	-0.00844806	-9.75183	
5.99022	15.825	13.8649	-0.0111966	-9.83482	
5.99022	15.7974	13.8855	-0.00844806	-9.80716	
5.99713	15.8596	13.9061	-0.00936425	-9.86248	
6.0663	15.7628	13.9403	-0.00966965	-9.6965	
6.05939	15.7835	13.9746	-0.00997504	-9.72416	
6.0663	15.7835	13.9609	-0.0111966	-9.71724	
6.08014	15.7974	13.9609	-0.00966965	-9.71724	
6.19773	15.7697	14.0021	-0.0118074	-9.57199	
6.14931	15.7766	14.0843	-0.0105858	-9.62732	
6.1839	15.7974	14.0775	-0.014556	-9.61348	
6.21156	15.7282	14.0843	-0.0154722	-9.51666	
