C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 27\TRACINGS\ACQ 3\EFFORT27-SBT_POSTEEXT_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
62072	62072	62072	62072	62072	
0.192786	17.1162	23.2784	-0.001441	-16.9234	
0.199754	17.1093	23.2647	-0.00259477	-16.9095	
0.199754	17.0746	23.3057	-0.00172944	-16.8749	
0.185817	16.9914	23.292	-0.00172944	-16.8056	
0.248534	17.0607	23.333	-0.00288322	-16.8122	
0.276408	16.9914	23.3125	-0.00317166	-16.715	
0.318219	17.0053	23.3261	-0.00692143	-16.6871	
0.318219	17.0122	23.3057	-0.00403699	-16.694	
0.346093	16.9706	23.333	-0.00749831	-16.6245	
0.436684	16.9914	23.333	-0.0080752	-16.5547	
0.471527	16.9637	23.3193	-0.0080752	-16.4922	
0.520307	16.9498	23.3808	-0.00894053	-16.4295	
0.603929	16.9291	23.292	-0.011825	-16.3251	
0.708457	16.936	23.3671	-0.0121134	-16.2275	
0.757237	16.9152	23.3057	-0.0147094	-16.158	
0.826922	16.936	23.3125	-0.014421	-16.1091	
0.910545	16.9013	23.3057	-0.0147094	-15.9908	
1.05688	16.9083	23.3193	-0.0149978	-15.8514	
1.08476	16.9498	23.3125	-0.0121134	-15.8651	
1.19625	16.9568	23.3125	-0.0126903	-15.7605	
1.21716	16.9291	23.3125	-0.0103827	-15.7119	
1.27988	16.9083	23.3193	-0.0080752	-15.6284	
1.31472	16.9706	23.3261	-0.00692143	-15.6559	
1.33563	16.936	23.292	-0.00403699	-15.6004	
1.35653	17.033	23.3603	-0.00432543	-15.6765	
1.35653	16.9914	23.3398	-0.00403699	-15.6349	
1.31472	17.0192	23.3466	-0.001441	-15.7044	
1.27988	17.0607	23.3808	-0.00230633	-15.7809	
1.22413	17.1231	23.3671	1.21691E-006	-15.899	
1.19625	17.1717	23.3535	0.00144343	-15.9754	
1.12657	17.2063	23.3398	0.00202032	-16.0797	
1.07082	17.234	23.4012	1.21691E-006	-16.1632	
0.994167	17.2618	23.3739	-0.00115256	-16.2676	
