C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 28\TRACINGS\ACQ 3\EFFORT28_COMPLETE_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
74924	74924	74924	74924	74924	
8.52974	20.7047	20.8215	-0.689955	-12.1749	
8.39235	20.8077	20.9032	-0.681014	-12.4153	
8.516	20.8145	20.9849	-0.777642	-12.2985	
8.21374	20.8969	21.0939	-0.65938	-12.6832	
8.33739	20.8626	21.1484	-0.721396	-12.5252	
8.37174	20.9656	21.1756	-0.720242	-12.5938	
8.29618	20.9518	21.271	-0.655631	-12.6557	
8.23435	21.0274	21.2982	-0.589289	-12.793	
8.2	21.0205	21.2982	-0.629959	-12.8205	
8.23435	21.0686	21.3936	-0.657073	-12.8342	
8.24809	21.0754	21.4276	-0.663419	-12.8274	
8.13818	21.1647	21.4889	-0.626498	-13.0265	
8.23435	21.2471	21.5298	-0.509101	-13.0128	
8.21374	21.2334	21.5706	-0.59823	-13.0196	
8.14505	21.2196	21.6523	-0.576886	-13.0746	
8.24122	21.2471	21.6864	-0.656496	-13.0059	
8.06948	21.2334	21.7341	-0.610634	-13.1639	
7.93209	21.2196	21.7817	-0.606884	-13.2876	
7.95957	21.2814	21.8022	-0.482565	-13.3219	
7.9527	21.2814	21.8567	-0.548041	-13.3287	
7.87026	21.3158	21.843	-0.571117	-13.4455	
7.91835	21.302	21.8771	-0.569386	-13.3837	
7.86339	21.3089	21.9588	-0.594769	-13.4455	
7.85652	21.2883	21.9452	-0.573424	-13.4318	
7.82904	21.2883	21.918	-0.533331	-13.4593	
7.77409	21.3158	21.9656	-0.563617	-13.5417	
7.78096	21.3089	21.9384	-0.566213	-13.5279	
7.68478	21.3158	21.9861	-0.572271	-13.631	
7.68478	21.3226	21.9792	-0.475354	-13.6379	
7.6573	21.2402	21.9724	-0.523524	-13.5829	
7.54739	21.3089	22.0201	-0.475065	-13.7615	
7.55426	21.2608	21.9997	-0.42978	-13.7066	
7.45122	21.254	21.9656	-0.509101	-13.8028	
7.45809	21.199	21.9929	-0.523235	-13.741	
7.36191	21.1372	21.9792	-0.516024	-13.7753	
7.31382	21.151	21.9588	-0.460643	-13.8372	
7.22452	21.1166	21.9724	-0.432664	-13.8921	
7.24513	21.1235	21.9656	-0.421703	-13.8784	
7.20391	21.1304	21.9452	-0.400358	-13.9265	
7.1833	21.1304	21.9452	-0.368053	-13.9471	
7.08713	21.0823	21.952	-0.45372	-13.9952	
6.97034	21.0892	21.8975	-0.46295	-14.1188	
7.05278	21.096	21.918	-0.404973	-14.0433	
6.94287	21.0411	21.8839	-0.304883	-14.0982	
6.99095	21.0892	21.8226	-0.364303	-14.0982	
6.96347	20.9793	21.8567	-0.426318	-14.0158	
6.936	21.0068	21.8498	-0.44449	-14.0708	
6.88791	20.9724	21.8158	-0.352765	-14.0845	
6.82608	20.9793	21.7613	-0.329401	-14.1532	
6.83295	20.9518	21.7136	-0.316421	-14.1189	
6.8673	20.9724	21.7136	-0.382186	-14.1051	
6.81921	20.9244	21.6864	-0.366034	-14.1052	
6.83295	20.8969	21.6523	-0.329978	-14.064	
6.85356	20.8557	21.6523	-0.331132	-14.0022	
6.80547	20.8969	21.5706	-0.289019	-14.0914	
6.92913	20.9038	21.5502	-0.324786	-13.9747	
6.97721	20.8557	21.5434	-0.351034	-13.8785	
6.88791	20.9175	21.5025	-0.384782	-14.0296	
6.77113	20.8694	21.523	-0.323921	-14.0983	
6.68869	20.8145	21.4685	-0.283827	-14.1258	
6.77799	20.8351	21.4344	-0.237676	-14.0571	
6.72991	20.842	21.3391	-0.255271	-14.1121	
6.71617	20.7939	21.3391	-0.315267	-14.0778	
6.64747	20.8145	21.3255	-0.347862	-14.167	
6.58565	20.7802	21.2914	-0.261905	-14.1945	
6.50321	20.7047	21.2505	-0.279789	-14.2014	
6.40017	20.7459	21.2097	-0.27402	-14.3457	
6.37269	20.7184	21.2097	-0.230177	-14.3457	
6.27651	20.636	21.1824	-0.268251	-14.3595	
6.26277	20.5811	21.1484	-0.222677	-14.3183	
6.24904	20.5399	21.0939	-0.195563	-14.2908	
6.29025	20.4643	21.053	-0.192967	-14.1741	
6.25591	20.4163	21.0258	-0.21287	-14.1604	
6.22843	20.4094	20.9917	-0.250945	-14.181	
6.0773	20.3613	20.9986	-0.205371	-14.284	
6.02234	20.3201	20.9032	-0.179699	-14.2978	
5.99486	20.2858	20.8896	-0.132971	-14.2909	
5.93303	20.2446	20.8896	-0.176526	-14.3116	
5.91243	20.2171	20.8215	-0.19441	-14.3047	
5.85747	20.2103	20.8011	-0.179122	-14.3528	
5.88495	20.1416	20.7738	-0.143067	-14.2567	
5.87121	20.1004	20.7193	-0.150278	-14.2292	
5.7819	20.0798	20.6921	-0.150278	-14.2979	
5.76816	20.0386	20.6989	-0.140182	-14.2704	
5.80938	19.9631	20.6036	-0.139605	-14.1537	
5.7819	19.9356	20.6104	-0.117684	-14.1537	
5.83686	19.8807	20.5763	-0.125183	-14.0438	
5.79564	19.8326	20.5218	-0.116241	-14.037	
5.79564	19.7434	20.5286	-0.106434	-13.9477	
5.76816	19.7228	20.4742	-0.10903	-13.9546	
5.76816	19.6472	20.4265	-0.101819	-13.8791	
5.79564	19.5923	20.4197	-0.0960504	-13.7966	
5.8506	19.5374	20.4061	-0.0963389	-13.6868	
5.82999	19.5236	20.3311	-0.0891278	-13.6936	
5.8506	19.3863	20.3175	-0.0937429	-13.5357	
5.81625	19.3588	20.2426	-0.0850896	-13.5426	
5.83686	19.3382	20.2494	-0.0683599	-13.5014	
5.85747	19.1803	20.2154	-0.0631679	-13.3228	
5.89869	19.1048	20.2426	-0.0585528	-13.2061	
5.85747	19.0018	20.1745	-0.0605719	-13.1443	
5.7819	18.9125	20.1813	-0.0602835	-13.1306	
5.88495	18.8713	20.1677	-0.057399	-12.9864	
5.83686	18.7202	20.1405	-0.052207	-12.8834	
5.82999	18.6653	20.12	-0.0501879	-12.8353	
5.80251	18.5486	20.0792	-0.0524955	-12.7461	
5.91243	18.5074	20.086	-0.0533608	-12.595	
5.8506	18.425	20.0451	-0.0542261	-12.5744	
5.85747	18.2945	20.0042	-0.0556684	-12.4371	
5.87121	18.2945	20.0042	-0.0582644	-12.4233	
5.98112	18.2396	19.9702	-0.0614372	-12.2585	
6.02234	18.1778	19.9157	-0.0643217	-12.1555	
6.0086	18.0885	19.9089	-0.0623026	-12.0799	
6.04295	17.9855	19.9157	-0.0597066	-11.9426	
6.00173	17.9581	19.8408	-0.0608603	-11.9563	
6.0086	17.9031	19.834	-0.0628795	-11.8945	
6.01547	17.8619	19.8476	-0.0611488	-11.8465	
6.05669	17.7727	19.8272	-0.057399	-11.716	
6.05669	17.7658	19.7999	-0.057399	-11.7091	
6.05669	17.6834	19.7999	-0.0545146	-11.6267	
6.05669	17.704	19.7523	-0.0530724	-11.6473	
6.00173	17.6079	19.7455	-0.0524955	-11.6062	
5.96051	17.5255	19.7591	-0.0498995	-11.565	
5.94677	17.4912	19.691	-0.0478804	-11.5444	
5.8506	17.5255	19.6978	-0.0455728	-11.6749	
5.8506	17.4156	19.7114	-0.0461497	-11.565	
5.8506	17.4019	19.6705	-0.0467266	-11.5513	
5.80938	17.3744	19.6978	-0.0421115	-11.565	
5.71321	17.3195	19.6297	-0.0395155	-11.6063	
5.75442	17.2852	19.6365	-0.0369195	-11.5307	
5.6926	17.2165	19.691	-0.0340351	-11.5239	
5.66512	17.2371	19.5888	-0.0328813	-11.572	
5.61703	17.1616	19.5888	-0.0308622	-11.5445	
5.61703	17.1204	19.582	-0.0285547	-11.5033	
5.60329	17.0311	19.5411	-0.0227858	-11.4278	
5.56895	17.0448	19.5548	-0.0196129	-11.4759	
5.54147	17.0036	19.5343	-0.0149978	-11.4622	
5.45903	16.9624	19.4526	-0.0106712	-11.5034	
5.39721	16.9281	19.5003	-0.00720987	-11.5309	
5.34225	16.9212	19.4254	-0.00778676	-11.579	
5.26668	16.8251	19.439	-0.00634454	-11.5584	
5.22547	16.8251	19.3845	-0.00432543	-11.5996	
5.09494	16.7633	19.4254	0.000866547	-11.6684	
5.05373	16.674	19.3981	0.00836608	-11.6203	
4.95068	16.626	19.3777	0.0210576	-11.6753	
4.84077	16.6397	19.3368	0.0334607	-11.7989	
4.74459	16.4955	19.2687	0.042114	-11.7509	
4.62094	16.4269	19.3028	0.057113	-11.8059	
4.57972	16.3857	19.2892	0.0669201	-11.8059	
4.46294	16.3101	19.2619	0.075285	-11.8472	
4.36677	16.2346	19.2755	0.0897071	-11.8678	
4.18816	16.1453	19.1938	0.100956	-11.9572	
4.02329	16.0492	19.2619	0.102399	-12.0259	
3.70041	15.9874	19.2006	0.103552	-12.287	
3.69354	15.8775	19.187	0.0940338	-12.184	
3.72102	15.8226	19.2006	0.108456	-12.1016	
3.73476	15.7059	19.1393	0.124032	-11.9711	
3.63172	15.699	19.0712	0.130955	-12.0673	
3.5012	15.6029	19.0917	0.147684	-12.1017	
3.5012	15.5823	19.0508	0.161241	-12.0811	
3.67981	15.5136	19.044	0.18374	-11.8338	
3.88589	15.4244	18.9827	0.21143	-11.5385	
3.94772	15.3282	18.9827	0.235371	-11.3805	
4.11259	15.2596	18.9214	0.255851	-11.147	
4.18129	15.2046	18.8805	0.303732	-11.0233	
4.31868	15.0742	18.8261	0.322481	-10.7555	
4.50416	15.0467	18.7648	0.349306	-10.5425	
4.72398	14.9643	18.7648	0.386804	-10.2403	
4.95068	14.8682	18.7239	0.40238	-9.91749	
5.06059	14.7926	18.683	0.430359	-9.73204	
5.28729	14.7171	18.6286	0.448242	-9.42981	
5.49338	14.6278	18.6013	0.476221	-9.13446	
5.65825	14.6004	18.6081	0.466703	-8.94213	
5.89182	14.5248	18.5536	0.504489	-8.63303	
6.0773	14.4905	18.506	0.54141	-8.41322	
6.29712	14.3944	18.4515	0.555543	-8.09726	
