C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 3\PATIENT 3 TRACINGS\ACQ_3.7\EFFORT3_COMPLETE_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
64149	64149	64149	64149	64149	
6.0774	10.4856	13.1998	-0.0562419	-4.40823	
6.10459	10.4509	13.1523	-0.0559475	-4.34634	
6.0774	10.3815	13.1862	-0.0559475	-4.30413	
6.10459	10.326	13.1998	-0.0547696	-4.22143	
6.15218	10.2844	13.2134	-0.0550641	-4.1322	
6.17257	10.2636	13.2269	-0.0547696	-4.09099	
6.23375	10.2566	13.2066	-0.0565364	-4.02287	
6.19296	10.208	13.1998	-0.0585977	-4.01508	
6.24055	10.2566	13.1795	-0.06007	-4.01607	
6.25415	10.1803	13.2269	-0.0624257	-3.92614	
6.33572	10.2566	13.254	-0.0650759	-3.9209	
6.30853	10.2844	13.2337	-0.0680206	-3.97585	
6.33572	10.326	13.254	-0.0709653	-3.99029	
6.29493	10.2983	13.2608	-0.0736155	-4.00332	
6.30853	10.2844	13.2269	-0.0765602	-3.97585	
6.25415	10.2774	13.2879	-0.0792104	-4.02329	
6.29493	10.3121	13.2608	-0.082155	-4.0172	
6.20656	10.2844	13.2608	-0.0853942	-4.07782	
6.16577	10.3121	13.2608	-0.0868665	-4.14636	
6.11139	10.2427	13.3015	-0.0880444	-4.13135	
6.0774	10.2774	13.3354	-0.0877499	-4.20004	
6.01622	10.1872	13.3489	-0.0862776	-4.17101	
5.99582	10.2219	13.3083	-0.0842163	-4.2261	
5.93464	10.2427	13.3422	-0.0815661	-4.3081	
5.96863	10.1525	13.2812	-0.0774436	-4.1839	
5.97543	10.1386	13.3354	-0.0730265	-4.16322	
6.02301	10.1525	13.3489	-0.0680206	-4.12951	
5.99582	10.1109	13.3489	-0.0647815	-4.11507	
6.05021	10.1317	13.2676	-0.0624257	-4.0815	
6.05021	10.104	13.3422	-0.0621313	-4.05375	
5.69671	12.9283	21.3963	0.250593	-7.23163	
5.89385	12.9422	21.4031	0.2768	-7.04836	
6.00262	12.9283	21.4641	0.303008	-6.92572	
6.16577	12.8798	21.4709	0.328627	-6.71399	
6.30173	12.8312	21.4709	0.35189	-6.52945	
6.45129	12.8728	21.5048	0.372502	-6.42153	
6.66203	12.8312	21.5183	0.391643	-6.16916	
6.79119	12.8451	21.5319	0.408427	-6.05388	
6.82518	12.7687	21.5929	0.423151	-5.94355	
6.94754	12.8104	21.6471	0.436402	-5.86282	
6.98153	12.7202	21.6675	0.448475	-5.73862	
7.04271	12.6855	21.6742	0.459665	-5.64274	
7.0835	12.7063	21.742	0.470265	-5.62277	
7.27385	12.6785	21.7353	0.479688	-5.40467	
7.33503	12.7132	21.8166	0.489111	-5.37819	
7.21946	12.6022	21.8776	0.498534	-5.38272	
7.26025	12.6438	21.8437	0.507957	-5.38357	
7.40301	12.6091	21.8912	0.517675	-5.20611	
7.31463	12.512	21.9183	0.527981	-5.19733	
7.04951	12.5258	21.9929	0.536815	-5.47633	
7.05631	12.4079	21.9386	0.546532	-5.35156	
7.02912	12.3524	22.0471	0.554188	-5.32324	
7.11749	12.2899	22.0539	0.559194	-5.17241	
7.21266	12.1164	22.1285	0.562139	-4.90375	
7.30784	12.1095	22.1285	0.563023	-4.80164	
7.24665	11.9846	22.2844	0.563317	-4.73791	
7.23306	11.8943	22.2505	0.563023	-4.66129	
7.21266	11.8041	22.3047	0.564789	-4.59147	
7.26025	11.6931	22.298	0.567734	-4.43285	
7.37582	11.6306	22.3251	0.572445	-4.25483	
7.27385	11.5127	22.4064	0.57804	-4.23883	
7.4166	11.4016	22.4403	0.58393	-3.98504	
7.48458	11.242	22.5081	0.589819	-3.75745	
7.4438	11.1449	22.5488	0.596886	-3.70108	
7.45059	11.013	22.6234	0.602481	-3.56244	
7.55936	10.8742	22.6573	0.607487	-3.31488	
7.53217	10.7424	22.6844	0.610137	-3.21022	
7.66133	10.6175	22.7657	0.610726	-2.95614	
7.70212	10.4926	22.7996	0.609254	-2.79045	
7.84488	10.326	22.881	0.606309	-2.48114	
7.91966	10.2636	22.9013	0.603659	-2.34391	
7.97404	10.104	22.942	0.602481	-2.12991	
7.94685	9.97904	23.0302	0.602187	-2.03219	
8.01483	9.89577	23.0505	0.601009	-1.88094	
8.00803	9.82637	23.1522	0.599831	-1.81834	
8.02842	9.73616	23.2132	0.596297	-1.70773	
8.25956	9.65982	23.2946	0.594825	-1.40027	
8.31394	9.59737	23.342	0.593647	-1.28343	
8.25276	9.56267	23.3352	0.592764	-1.30991	
8.28675	9.46552	23.4573	0.591291	-1.17877	
